iter	MultiClass
0	1.050938488
1	1.010408454
2	0.9751891899
3	0.9431524004
4	0.913332534
5	0.8850359601
6	0.859640808
7	0.8373850878
8	0.8158038967
9	0.7958789633
10	0.7774749596
11	0.7613740899
12	0.7464826836
13	0.7326005137
14	0.718848033
15	0.70644883
16	0.6943629046
17	0.6839266448
18	0.6733919248
19	0.6641972768
20	0.6557874469
21	0.6471901685
22	0.6393776074
23	0.6318013138
24	0.6249214733
25	0.6185187756
26	0.612533351
27	0.6067847397
28	0.6010352459
29	0.5954955966
30	0.5910157555
31	0.5861685997
32	0.5820114005
33	0.5779015354
34	0.5739650127
35	0.5701644711
36	0.5665026812
37	0.5631599323
38	0.5596711738
39	0.5572175266
40	0.5539913096
41	0.5514133925
42	0.5494283238
43	0.5471983003
44	0.5451639859
45	0.5432882393
46	0.5412712011
47	0.5388804131
48	0.5370620383
49	0.5355890279
50	0.5336719858
51	0.5319565106
52	0.5305236058
53	0.529023288
54	0.5273859724
55	0.5260651224
56	0.5241848459
57	0.5229904027
58	0.521658123
59	0.5201577475
60	0.5190041982
61	0.5182378575
62	0.5176130207
63	0.5166012438
64	0.5153544932
65	0.514482587
66	0.5133128139
67	0.5122122388
68	0.5111797516
69	0.5103016225
70	0.5096018594
71	0.5088995127
72	0.5087433866
73	0.5082122235
74	0.5077332792
75	0.5068890279
76	0.5063931694
77	0.5062720844
78	0.505706064
79	0.5050106592
80	0.5044430671
81	0.5043304266
82	0.5037014925
83	0.5033749657
84	0.5030144632
85	0.5022624763
86	0.5022056561
87	0.5018714792
88	0.501302762
89	0.5004033458
90	0.4996306179
91	0.4991208809
92	0.4986241584
93	0.4980498224
94	0.4975766074
95	0.4972837164
96	0.4969347365
97	0.4963892503
98	0.4958029407
99	0.4952789129
100	0.4950652234
101	0.4946101969
102	0.4944565842
103	0.4941680401
104	0.4939373103
105	0.4937806425
106	0.4934932706
107	0.4929810516
108	0.4928526233
109	0.4926475995
110	0.4921532497
111	0.4919627815
112	0.4917278064
113	0.4916338524
114	0.4914471426
115	0.4912536213
116	0.4910918177
117	0.4908446328
118	0.4906664701
119	0.4905292267
120	0.490398528
121	0.4900350634
122	0.4898182325
123	0.4895972413
124	0.4893769077
