iter	Passed	Remaining
0	39	19959
1	80	20021
2	116	19359
3	155	19241
4	189	18771
5	227	18731
6	265	18727
7	302	18615
8	338	18482
9	377	18518
10	415	18452
11	455	18513
12	491	18404
13	533	18530
14	588	19015
15	635	19210
16	670	19061
17	714	19124
18	750	18998
19	790	18971
20	830	18935
21	869	18896
22	908	18847
23	947	18797
24	986	18752
25	1028	18749
26	1070	18747
27	1107	18675
28	1146	18613
29	1182	18533
30	1222	18497
31	1261	18454
32	1299	18393
33	1340	18373
34	1375	18279
35	1411	18190
36	1450	18146
37	1487	18078
38	1527	18060
39	1569	18049
40	1610	18030
41	1648	17981
42	1689	17952
43	1729	17924
44	1763	17833
45	1799	17757
46	1833	17674
47	1870	17615
48	1909	17571
49	1946	17520
50	1984	17467
51	2017	17381
52	2056	17344
53	2095	17307
54	2132	17252
55	2175	17252
56	2211	17186
57	2250	17153
58	2291	17131
59	2327	17070
60	2364	17014
61	2403	16982
62	2439	16921
63	2476	16868
64	2512	16811
65	2551	16778
66	2594	16767
67	2634	16737
68	2674	16705
69	2713	16667
70	2754	16644
71	2791	16596
72	2830	16554
73	2869	16521
74	2906	16471
75	2944	16429
76	2981	16381
77	3024	16364
78	3063	16326
79	3104	16298
80	3143	16258
81	3177	16198
82	3216	16158
83	3256	16128
84	3297	16099
85	3334	16051
86	3374	16020
87	3417	15997
88	3454	15953
89	3491	15903
90	3525	15845
91	3563	15801
92	3598	15750
93	3636	15707
94	3675	15669
95	3714	15631
96	3749	15576
97	3786	15531
98	3827	15503
99	3864	15459
100	3905	15429
101	3943	15389
102	3985	15361
103	4021	15311
104	4059	15270
105	4096	15225
106	4134	15185
107	4177	15161
108	4225	15156
109	4262	15113
110	4302	15076
111	4340	15037
112	4380	15001
113	4417	14956
114	4455	14915
115	4496	14884
116	4537	14852
117	4578	14822
118	4621	14797
119	4660	14759
120	4698	14715
121	4737	14677
122	4774	14633
123	4812	14592
124	4852	14557
125	4890	14516
126	4930	14481
127	4969	14443
128	5005	14395
129	5044	14357
130	5084	14322
131	5123	14285
132	5161	14241
133	5200	14204
134	5240	14168
135	5276	14123
136	5314	14081
137	5328	13976
138	5364	13932
139	5401	13889
140	5439	13850
141	5479	13815
142	5522	13786
143	5562	13751
144	5604	13720
145	5638	13671
146	5677	13634
147	5712	13586
148	5753	13553
149	5791	13514
150	5825	13465
151	5859	13416
152	5895	13369
153	5934	13332
154	5971	13291
155	6010	13254
156	6047	13212
157	6083	13167
158	6119	13123
159	6157	13084
160	6196	13048
161	6235	13009
162	6270	12964
163	6311	12930
164	6349	12892
165	6361	12799
166	6402	12766
167	6437	12722
168	6476	12684
169	6515	12647
170	6550	12602
171	6589	12566
172	6628	12528
173	6670	12497
174	6708	12457
175	6747	12422
176	6784	12381
177	6823	12343
178	6860	12302
179	6898	12264
180	6939	12230
181	6977	12191
182	7016	12154
183	7055	12117
184	7095	12080
185	7129	12036
186	7173	12006
187	7213	11970
188	7251	11932
189	7282	11881
190	7319	11841
191	7360	11807
192	7401	11773
193	7437	11731
194	7479	11699
195	7516	11658
196	7557	11624
197	7596	11586
198	7636	11551
199	7678	11518
200	7718	11481
201	7764	11454
202	7803	11417
203	7838	11373
204	7877	11336
205	7915	11296
206	7955	11260
207	7995	11224
208	8034	11186
209	8073	11148
210	8111	11110
211	8147	11068
212	8187	11031
213	8225	10993
214	8260	10950
215	8302	10916
216	8340	10876
217	8378	10838
218	8418	10801
219	8459	10766
220	8501	10732
221	8538	10691
222	8576	10653
223	8609	10608
224	8646	10567
225	8685	10530
226	8723	10491
227	8764	10455
228	8803	10418
229	8841	10378
230	8879	10339
231	8923	10308
232	8963	10271
233	9001	10232
234	9040	10194
235	9077	10154
236	9116	10116
237	9157	10080
238	9196	10043
239	9234	10004
240	9274	9967
241	9317	9933
242	9354	9893
243	9393	9855
244	9436	9821
245	9477	9785
246	9518	9749
247	9555	9709
248	9593	9670
249	9630	9630
250	9670	9593
251	9710	9556
252	9750	9519
253	9788	9480
254	9825	9440
255	9864	9401
256	9904	9364
257	9942	9325
258	9980	9286
259	10020	9249
260	10058	9210
261	10097	9172
262	10141	9139
263	10181	9101
264	10219	9062
265	10257	9023
266	10296	8984
267	10333	8945
268	10373	8907
269	10415	8872
270	10454	8834
271	10495	8797
272	10534	8759
273	10574	8721
274	10612	8682
275	10649	8642
276	10689	8605
277	10727	8566
278	10764	8526
279	10803	8488
280	10844	8451
281	10887	8416
282	10927	8378
283	10971	8344
284	11008	8304
285	11047	8266
286	11085	8226
287	11122	8187
288	11159	8147
289	11197	8108
290	11236	8070
291	11276	8032
292	11310	7990
293	11348	7951
294	11389	7914
295	11430	7877
296	11471	7841
297	11511	7802
298	11548	7763
299	11587	7725
300	11624	7685
301	11667	7649
302	11707	7612
303	11746	7573
304	11787	7536
305	11826	7498
306	11863	7458
307	11903	7420
308	11942	7382
309	11981	7343
310	12021	7305
311	12060	7267
312	12099	7228
313	12137	7189
314	12173	7149
315	12212	7111
316	12256	7075
317	12296	7037
318	12332	6997
319	12376	6961
320	12418	6924
321	12458	6886
322	12496	6848
323	12532	6807
324	12566	6766
325	12602	6726
326	12644	6689
327	12686	6652
328	12724	6613
329	12765	6576
330	12802	6536
331	12841	6498
332	12879	6459
333	12918	6420
334	12957	6382
335	12995	6342
336	13030	6302
337	13069	6264
338	13113	6228
339	13148	6187
340	13186	6148
341	13226	6110
342	13266	6072
343	13306	6034
344	13345	5995
345	13386	5958
346	13429	5921
347	13475	5885
348	13515	5847
349	13555	5809
350	13592	5769
351	13630	5731
352	13670	5692
353	13709	5654
354	13745	5614
355	13783	5575
356	13817	5534
357	13852	5494
358	13892	5456
359	13934	5418
360	13973	5380
361	14014	5342
362	14052	5303
363	14090	5264
364	14131	5226
365	14171	5188
366	14211	5150
367	14251	5111
368	14293	5074
369	14334	5036
370	14379	5000
371	14420	4961
372	14460	4923
373	14499	4884
374	14535	4845
375	14575	4806
376	14610	4766
377	14646	4727
378	14684	4688
379	14720	4648
380	14759	4609
381	14800	4571
382	14835	4531
383	14870	4492
384	14906	4452
385	14945	4413
386	14985	4375
387	15026	4337
388	15064	4298
389	15102	4259
390	15138	4220
391	15179	4182
392	15221	4144
393	15262	4106
394	15300	4067
395	15343	4029
396	15383	3991
397	15424	3952
398	15464	3914
399	15503	3875
400	15537	3835
401	15579	3797
402	15624	3760
403	15663	3722
404	15702	3683
405	15736	3643
406	15776	3604
407	15814	3566
408	15852	3527
409	15887	3487
410	15928	3449
411	15964	3409
412	16005	3371
413	16041	3332
414	16082	3294
415	16120	3255
416	16158	3216
417	16198	3177
418	16238	3139
419	16275	3100
420	16314	3061
421	16354	3022
422	16393	2984
423	16435	2945
424	16478	2908
425	16519	2869
426	16557	2830
427	16596	2791
428	16635	2753
429	16677	2714
430	16713	2675
431	16751	2636
432	16790	2598
433	16830	2559
434	16871	2521
435	16914	2482
436	16954	2444
437	16993	2405
438	17039	2367
439	17082	2329
440	17126	2291
441	17160	2251
442	17201	2213
443	17243	2174
444	17277	2135
445	17320	2097
446	17364	2058
447	17405	2020
448	17446	1981
449	17485	1942
450	17522	1903
451	17559	1864
452	17597	1825
453	17631	1786
454	17669	1747
455	17706	1708
456	17745	1669
457	17788	1631
458	17828	1592
459	17866	1553
460	17909	1515
461	17947	1476
462	17985	1437
463	18023	1398
464	18064	1359
465	18104	1320
466	18143	1282
467	18186	1243
468	18223	1204
469	18262	1165
470	18302	1126
471	18344	1088
472	18385	1049
473	18423	1010
474	18463	971
475	18501	932
