Moki ID,Name,Class,Score,WinRate,Wart Closer,Losses,Gacha Pts,Deaths,Win By Combat,Fur,Traits,Win Cond: Eliminations (%),Win Cond: Wart (%),Win Cond: Gacha (%)
6025,Kuroshi,Defender,3947.5,62.4,6.7,3.8,246.6,12.5,4.08,Shadow,Ronin,65.4,31.2,3.4
6009,Filthy,Defender,3920.7,61.4,6.6,3.9,244.6,13.0,4.02,Spirit,"Maid Apron, Tongue Out",65.5,31.0,3.5
6913,Butthole Moki,Defender,3822.3,59.8,6.3,4.0,237.7,12.0,4.11,1 of 1,,68.7,28.9,2.3
6606,Dark Lord Moki,Defender,3790.9,58.9,6.6,4.1,234.1,12.9,3.97,1 of 1,,67.5,29.8,2.8
6100,Sir Pochington,Striker,3779.1,46.2,2.2,5.4,2189.8,9.0,2.3,Rainbow,,49.7,3.8,46.5
5925,Rae,Defender,3749.9,58.4,6.7,4.2,232.4,12.9,3.79,Common,,64.9,31.6,3.5
5755,Keanu,Defender,3725.9,59.7,6.3,4.0,234.5,12.3,4.07,Spirit,Straw Kimono,68.1,28.7,3.1
5193,Red Whine,Sprinter,3718.6,54.7,5.7,4.5,589.9,13.4,3.98,Shadow,Skull Mask,72.8,20.7,6.5
5504,JOEHNINGUS,Defender,3694.4,58.2,6.2,4.2,242.9,13.6,4.09,Rainbow,"Crying Eye, Pink Overalls",70.4,26.7,3.0
5705,Fenrir,Defender,3678.6,57.5,6.6,4.3,223.4,13.3,3.74,Common,Wolf Onesie,65.2,30.4,4.5
7021,Poo Licker,Defender,3674.9,56.2,6.4,4.4,235.9,13.5,3.89,Common,Tongue Out,69.2,27.8,3.0
7405,Somber,Defender,3667.5,56.7,6.1,4.3,234.6,14.0,4.07,Rainbow,Blue Artist Apron,71.8,25.3,2.9
6821,24K,Defender,3664.3,56.9,6.1,4.3,225.5,13.1,3.94,Gold,,69.3,25.9,4.8
5125,Fire Moki,Defender,3660.6,55.5,6.2,4.5,237.1,14.5,3.85,1 of 1,,69.4,27.4,3.1
5256,Golden Nugget,Defender,3647.5,56.5,6.4,4.3,234.0,13.5,3.85,Shadow,"Gold Kimono, Crying Eye",68.2,28.9,2.9
7181,Gruyere,Striker,3646.2,41.7,1.8,5.8,2237.5,9.4,2.68,1 of 1,,64.2,3.2,32.6
7215,Krampy,Defender,3645.2,55.9,6.3,4.4,219.6,13.0,3.76,Rainbow,Black Sheep Onesie,67.3,29.1,3.6
5050,Sleepy Gary,Defender,3644.0,56.9,6.2,4.3,237.6,13.9,4.11,Common,,72.3,24.3,3.4
5710,Fernecito,Defender,3643.2,56.1,6.3,4.4,246.9,14.1,4.0,Rainbow,"Devious Mouth, Blue Overalls",71.4,25.8,2.9
8277,Palmer,Defender,3637.3,56.2,5.9,4.4,240.7,13.8,4.16,Shadow,Samurai,74.1,23.2,2.6
5890,Uni,Defender,3623.4,56.7,5.9,4.3,243.5,14.2,4.23,Common,"Green Overalls, Oni Mask",74.6,22.7,2.7
7858,Maomao,Defender,3623.0,56.4,6.1,4.4,226.4,13.3,4.03,Common,Wolf Onesie,71.4,26.0,2.6
4341,Mushroom Glasses,Striker,3618.0,40.3,1.7,6.0,2237.4,10.4,2.58,Rainbow,Crying Eye,64.1,2.4,33.5
3563,Cry Bunny,Defender,3617.8,55.5,6.4,4.4,229.1,14.0,3.84,Spirit,Crying Eye,69.3,27.4,3.3
