iter	Accuracy	Logloss
0	0.6075735508	0.6814076575
1	0.6157005535	0.6722581139
2	0.6171570055	0.6657783302
3	0.6201572968	0.6600954372
4	0.6209146519	0.6566754979
5	0.6226915234	0.6529522467
6	0.624468395	0.6502898977
7	0.6241479755	0.6485838841
8	0.6240023303	0.6469182064
9	0.6245849112	0.6455136815
10	0.6253131372	0.6434490844
11	0.6257792019	0.642491965
12	0.6260122342	0.6422139401
13	0.6270900087	0.6414112194
14	0.6278764929	0.6399499597
15	0.6290125255	0.6392844882
16	0.6292455578	0.6392436164
17	0.6297698806	0.6384040989
18	0.6317797844	0.6374679311
19	0.6322458491	0.6369329649
20	0.6327410428	0.6359357769
21	0.6357995922	0.6348284403
22	0.6400233032	0.6330235418
23	0.6410719487	0.6318312837
24	0.6413341101	0.6315147607
25	0.6408971745	0.6309827068
26	0.6424410137	0.6296526607
27	0.6426157879	0.629152574
28	0.6437226915	0.6284861585
29	0.6463734343	0.6277188948
30	0.6471016604	0.6271848844
31	0.6469560151	0.6271663902
32	0.6478298864	0.62680194
33	0.6488785319	0.6258250803
34	0.6488202738	0.6251414958
35	0.6503932421	0.6242073584
36	0.6515584037	0.6233611626
37	0.6516166618	0.623258782
38	0.6518496941	0.6229057092
39	0.6523157588	0.6221099426
40	0.6525487911	0.6217765245
41	0.6525487911	0.6217213634
42	0.6525779202	0.6217213622
43	0.6530439849	0.6215292903
44	0.6537430819	0.6211486398
45	0.6542382756	0.6205579298
46	0.6562481794	0.6198777647
47	0.6562481794	0.6196501352
48	0.6579667929	0.6188220438
49	0.6586658899	0.6183694461
50	0.6607631809	0.617013749
51	0.6612292456	0.6167304331
52	0.6614040198	0.6164623889
53	0.6613457617	0.6160669748
54	0.6621905039	0.6154660889
55	0.6641421497	0.613810313
56	0.6652199243	0.6129108502
57	0.6678706671	0.6120830991
58	0.6682202156	0.6116581479
59	0.6686862802	0.6112354047
60	0.6688610545	0.6106886943
61	0.670637926	0.6095057583
62	0.6706961841	0.6095053238
63	0.6711913778	0.6090034002
64	0.6723565395	0.6084768237
65	0.6729973784	0.6081542955
66	0.6743664433	0.6078995565
67	0.6748907661	0.6075418163
68	0.6753859598	0.6071793792
69	0.6779201864	0.6059834033
70	0.6790562191	0.6051050868
71	0.680454413	0.6046377002
72	0.68115351	0.6042247997
73	0.6819691232	0.603175848
74	0.6831634139	0.6015622122
75	0.6835712205	0.6009275505
76	0.6849111564	0.6001564707
77	0.6849694145	0.5998455392
78	0.6851733178	0.5994193244
79	0.6875910283	0.5983523453
80	0.6891348675	0.5974383362
81	0.6895718031	0.5968021643
82	0.6910865133	0.5955055225
83	0.691610836	0.5951194167
84	0.6923973201	0.5943422366
85	0.693038159	0.5930966326
86	0.6943489659	0.5922616357
87	0.6950480629	0.5910222083
88	0.6948732887	0.5901118832
89	0.6974366443	0.5889743582
90	0.6996504515	0.5875293594
91	0.6997087096	0.587261223
92	0.6998252258	0.5866197081
93	0.7004660647	0.585844546
94	0.7012234197	0.5851727074
95	0.7025050976	0.5842635984
96	0.7027381299	0.583950349
97	0.7030876784	0.583758578
98	0.7032333236	0.5827653413
99	0.7045732595	0.5820131414
100	0.7051558404	0.5814109248
101	0.7054762598	0.5808516228
102	0.7057966793	0.5802274831
103	0.7058258083	0.5798630605
104	0.706961841	0.5791257699
105	0.7081270026	0.5782679032
106	0.7089426158	0.5774323382
107	0.7092921643	0.5764580487
108	0.7109525197	0.5755525786
109	0.7116807457	0.5751487061
110	0.7119429071	0.5746696022
111	0.7116516167	0.5740852054
112	0.7136323915	0.5728647318
113	0.71398194	0.5721366134
114	0.7141275852	0.5709412704
115	0.7165452957	0.5703526247
116	0.7179143606	0.5692668933
117	0.718205651	0.5688271617
118	0.7202446839	0.5678525388
119	0.7215554908	0.567134699
120	0.7215554908	0.566877967
121	0.7213515875	0.5665101313
122	0.7214098456	0.5658786512
123	0.7215846199	0.5650712282
124	0.7231284591	0.5641836227
125	0.72309933	0.5637846124
126	0.7239732013	0.563420513
127	0.7261287504	0.5623878946
128	0.7260996213	0.562003166
129	0.7263617827	0.5614491364
130	0.727293912	0.5607248159
131	0.7276434605	0.5598837713
132	0.72796388	0.5594344879
133	0.7284008156	0.5590804003
134	0.7290125255	0.5585453476
135	0.7297698806	0.5578053403
136	0.7302068162	0.5568801935
137	0.7308476551	0.5559464509
138	0.7312554617	0.5551647768
139	0.7317797844	0.554276436
140	0.7320419458	0.5536841921
141	0.7322458491	0.5531567122
142	0.7330032042	0.5527031101
143	0.7332944946	0.551990123
144	0.734255753	0.5514108825
145	0.7346926886	0.5509810668
146	0.7365569473	0.550106718
147	0.7366443344	0.5499751492
148	0.7369064958	0.5496959135
149	0.7376929799	0.5491881152
150	0.7382173027	0.5486659
151	0.7397902709	0.5473028437
152	0.7399067871	0.5466762034
153	0.7408389164	0.5460055537
154	0.7416254005	0.5453913553
155	0.7424410137	0.5442256394
156	0.7437518206	0.5433786855
157	0.7441304981	0.5429233447
158	0.7439265948	0.5427741629
159	0.7452082726	0.5422714849
160	0.745441305	0.5417590988
161	0.7461986601	0.5413333823
162	0.7467521119	0.5405426931
163	0.7470434023	0.5402024297
164	0.7469851442	0.5399522912
165	0.7487037576	0.5386570176
166	0.7489950481	0.538355572
167	0.7497815322	0.5377377107
168	0.7500145645	0.5372398426
169	0.7504515001	0.5367262109
170	0.7505388873	0.5361297159
171	0.7513545004	0.5357739236
172	0.7524031459	0.5346600194
173	0.7525196621	0.5343621492
174	0.7531022429	0.5340766509
175	0.7539469851	0.5337128096
176	0.7549373726	0.5328048542
177	0.7553451791	0.5322356494
178	0.7554616953	0.5321759252
179	0.7565977279	0.5309321362
180	0.7572385669	0.5303821031
181	0.7575007282	0.5299695137
182	0.75805418	0.5296201931
183	0.7585785028	0.5289325334
184	0.7598601806	0.5280455777
185	0.7600640839	0.5277625119
186	0.7604136324	0.5273061459
187	0.7606757938	0.5268819257
188	0.7614622779	0.5259651766
189	0.7619574716	0.5255587852
190	0.7615787941	0.5252007446
191	0.7627439557	0.5242925323
192	0.7645499563	0.5237200878
193	0.7649577629	0.523270075
194	0.7655112147	0.522608249
195	0.7659772793	0.521972591
196	0.7667055054	0.521150752
197	0.7677541509	0.5204378269
198	0.7679871832	0.5199118321
199	0.7678997961	0.5195899505
200	0.7680745703	0.5190672003
201	0.7683949898	0.5184377986
202	0.7685697641	0.5180295906
203	0.7695310224	0.5174645631
204	0.7702592485	0.5171068027
205	0.7702301194	0.5168652263
206	0.7710166036	0.5162802222
207	0.7714826682	0.5155172212
208	0.7734634431	0.5146379807
209	0.7740168948	0.5138434499
210	0.7746286047	0.512974156
211	0.774832508	0.5125486482
212	0.7750072823	0.5123873049
213	0.7750364113	0.5121768827
214	0.7759394116	0.5111726062
215	0.77690067	0.5104844537
216	0.7771337023	0.5100831723
217	0.7775415089	0.509069435
218	0.7786775415	0.5082851695
219	0.7787649286	0.5080414743
220	0.7796679289	0.5072706209
221	0.7800757355	0.5067695802
222	0.7806583163	0.5059307968
223	0.7810078648	0.5055127071
224	0.7815321876	0.5050413067
225	0.7817360909	0.504467962
226	0.7819691232	0.5041952281
227	0.7827264783	0.503410868
228	0.7836877367	0.5026220117
229	0.7842994465	0.5023501514
230	0.7840664142	0.5020711449
231	0.7852607049	0.5012260253
232	0.7863384795	0.5003173673
233	0.786717157	0.4996700511
234	0.786688028	0.4994693119
235	0.7871832217	0.4992671493
236	0.7872123507	0.4991803787
237	0.7875910283	0.4986536716
238	0.788115351	0.4983909436
239	0.7889018351	0.4978740877
240	0.7891931255	0.4974876045
241	0.7891348675	0.4971157126
242	0.7896009321	0.4969128489
243	0.7892222546	0.4962231063
244	0.7900378678	0.4955329604
245	0.7907952228	0.4951427199
246	0.7912904165	0.4944945616
247	0.7924555782	0.4937975018
248	0.793678998	0.4934583415
249	0.7934459656	0.4932650427
250	0.793737256	0.4929663212
251	0.7935333528	0.4927111147
252	0.7942324498	0.4920201798
253	0.7945528692	0.4915867141
254	0.7946402563	0.4912538715
255	0.7955723857	0.4906711632
256	0.7954267405	0.4904790736
257	0.7961549665	0.4899900089
258	0.7968540635	0.4895213977
259	0.7967958054	0.4893147755
260	0.7969705797	0.4889077533
261	0.7973492572	0.4880264052
262	0.7974366443	0.4878023828
263	0.7975531605	0.4872847211
264	0.7978444509	0.4870763929
265	0.7979609671	0.4870084226
266	0.7988639674	0.4863854544
267	0.7992426449	0.4861565038
268	0.799970871	0.4856616333
269	0.7997378386	0.4855484665
270	0.800728226	0.4843454227
271	0.8018933877	0.4835304951
272	0.8022429362	0.4830241588
273	0.8025633557	0.4826281959
274	0.802796388	0.4820990897
