iter	Passed	Remaining
0	40	40718
1	64	32218
2	95	31859
3	123	30876
4	156	31248
5	186	30943
6	217	30946
7	244	30312
8	275	30345
9	307	30439
10	331	29792
11	363	29922
12	392	29795
13	426	30058
14	453	29831
15	482	29711
16	511	29608
17	541	29548
18	572	29569
19	603	29593
20	633	29554
21	663	29533
22	694	29511
23	724	29481
24	754	29445
25	780	29265
26	809	29213
27	840	29192
28	876	29371
29	906	29335
30	938	29350
31	972	29458
32	1003	29432
33	1031	29342
34	1062	29329
35	1096	29379
36	1127	29366
37	1158	29361
38	1191	29400
39	1220	29323
40	1248	29232
41	1273	29073
42	1303	29042
43	1330	28928
44	1360	28893
45	1389	28837
46	1420	28834
47	1453	28852
48	1482	28799
49	1500	28542
50	1527	28457
51	1558	28441
52	1592	28477
53	1623	28464
54	1653	28448
55	1684	28429
56	1717	28438
57	1748	28420
58	1777	28376
59	1806	28332
60	1833	28256
61	1865	28250
62	1898	28271
63	1933	28301
64	1964	28293
65	1995	28276
66	2026	28249
67	2059	28263
68	2090	28237
69	2122	28224
70	2153	28206
71	2187	28225
72	2217	28190
73	2246	28141
74	2281	28163
75	2313	28160
76	2347	28167
77	2378	28143
78	2410	28132
79	2444	28141
80	2477	28140
81	2500	28020
82	2528	27966
83	2559	27938
84	2592	27935
85	2623	27915
86	2655	27895
87	2688	27896
88	2719	27865
89	2751	27850
90	2783	27832
91	2800	27672
92	2832	27655
93	2864	27636
94	2896	27626
95	2927	27601
96	2958	27569
97	2995	27598
98	3026	27577
99	3060	27574
100	3093	27566
101	3125	27543
102	3156	27517
103	3189	27509
104	3222	27496
105	3256	27499
106	3289	27480
107	3320	27456
108	3355	27462
109	3392	27479
110	3429	27499
111	3467	27523
112	3503	27530
113	3539	27537
114	3577	27561
115	3617	27597
116	3653	27604
117	3693	27637
118	3728	27634
119	3764	27639
120	3801	27646
121	3838	27654
122	3878	27686
123	3915	27695
124	3956	27729
125	3995	27747
126	4035	27768
127	4079	27821
128	4116	27825
129	4152	27821
130	4190	27831
131	4220	27782
132	4254	27766
133	4287	27739
134	4320	27716
135	4355	27700
136	4396	27725
137	4434	27733
138	4473	27743
139	4512	27750
140	4551	27761
141	4588	27754
142	4627	27762
143	4662	27747
144	4701	27752
145	4737	27745
146	4774	27739
147	4810	27723
148	4850	27734
149	4885	27719
150	4925	27725
151	4959	27703
152	4997	27697
153	5038	27713
154	5077	27714
155	5114	27703
156	5150	27686
157	5189	27689
158	5225	27673
159	5264	27669
160	5301	27661
161	5344	27678
162	5382	27672
163	5418	27651
164	5450	27617
165	5482	27578
166	5513	27532
167	5544	27490
168	5579	27467
169	5615	27449
170	5651	27430
171	5688	27418
172	5736	27454
173	5775	27448
174	5812	27433
175	5850	27423
176	5888	27414
177	5929	27414
178	5968	27406
179	6006	27394
180	6043	27378
181	6078	27352
182	6116	27340
183	6151	27314
184	6190	27305
185	6229	27293
186	6268	27284
187	6306	27273
188	6347	27268
189	6387	27265
190	6418	27219
191	6456	27204
192	6491	27177
193	6532	27172
194	6566	27142
195	6599	27104
196	6633	27071
197	6666	27036
198	6698	26996
199	6732	26964
200	6767	26935
201	6805	26917
202	6844	26905
203	6881	26885
204	6921	26874
205	6959	26859
206	6997	26840
207	7035	26821
208	7071	26795
209	7106	26767
210	7150	26771
211	7187	26749
212	7223	26722
213	7260	26701
214	7303	26698
215	7342	26683
216	7379	26659
217	7421	26655
218	7455	26620
219	7493	26601
220	7530	26577
221	7568	26557
222	7601	26521
223	7637	26491
224	7675	26470
225	7712	26446
226	7748	26419
227	7779	26375
228	7816	26352
229	7855	26334
230	7894	26314
231	7932	26293
232	7970	26273
233	8013	26265
234	8050	26241
235	8082	26200
236	8114	26159
237	8146	26115
238	8177	26073
239	8214	26046
240	8248	26011
241	8289	25998
242	8321	25958
243	8354	25919
244	8389	25886
245	8419	25839
246	8450	25794
247	8482	25753
248	8512	25709
249	8546	25673
250	8576	25627
251	8610	25591
252	8641	25549
253	8671	25503
254	8702	25459
255	8737	25427
256	8772	25396
257	8802	25349
258	8839	25324
259	8878	25303
260	8915	25277
261	8969	25299
262	9021	25315
263	9066	25311
264	9100	25275
265	9134	25239
266	9169	25206
267	9205	25177
268	9240	25146
269	9273	25108
270	9307	25072
271	9342	25038
272	9366	24978
273	9399	24939
274	9432	24902
275	9465	24864
276	9497	24823
277	9530	24785
278	9563	24749
279	9595	24709
280	9625	24663
281	9656	24620
282	9689	24584
283	9720	24541
284	9751	24499
285	9783	24458
286	9813	24413
287	9845	24374
288	9881	24343
289	9913	24306
290	9947	24270
291	9984	24242
292	10016	24203
293	10051	24171
294	10088	24143
295	10139	24149
296	10174	24117
297	10222	24116
298	10260	24089
299	10297	24060
300	10331	24026
301	10365	23991
302	10399	23956
303	10432	23920
304	10466	23883
305	10499	23847
306	10536	23817
307	10568	23779
308	10601	23742
309	10616	23664
310	10652	23634
311	10680	23586
312	10713	23549
313	10750	23520
314	10786	23489
315	10820	23456
316	10856	23424
317	10893	23397
318	10934	23377
319	10976	23360
320	11017	23339
321	11057	23317
322	11097	23293
323	11139	23275
324	11179	23252
325	11220	23233
326	11258	23206
327	11298	23181
328	11336	23155
329	11375	23129
330	11411	23097
331	11451	23076
332	11489	23047
333	11528	23021
334	11567	22996
335	11609	22977
336	11654	22962
337	11695	22941
338	11739	22923
339	11780	22902
340	11821	22879
341	11863	22859
342	11902	22834
343	11943	22810
344	11982	22784
345	12023	22761
346	12067	22744
347	12111	22727
348	12153	22705
349	12193	22679
350	12236	22660
351	12270	22623
352	12307	22593
353	12343	22560
354	12377	22524
355	12415	22494
356	12455	22468
357	12495	22442
358	12534	22414
359	12575	22391
360	12617	22368
361	12675	22375
362	12717	22351
363	12758	22328
364	12800	22304
365	12836	22270
366	12872	22237
367	12910	22207
368	12944	22171
369	12977	22132
370	13016	22103
371	13052	22069
372	13091	22041
373	13127	22008
374	13164	21976
375	13204	21949
376	13244	21921
377	13282	21891
378	13320	21860
379	13358	21830
380	13396	21800
381	13435	21770
382	13473	21740
383	13518	21721
384	13559	21695
385	13601	21670
386	13644	21647
387	13686	21622
388	13719	21584
389	13756	21551
390	13795	21521
391	13840	21502
392	13883	21479
393	13924	21452
394	13961	21419
395	14001	21390
396	14042	21363
397	14083	21338
398	14123	21309
399	14165	21284
400	14202	21249
401	14241	21220
402	14284	21197
403	14324	21166
404	14363	21136
405	14406	21113
406	14448	21086
407	14490	21061
408	14531	21032
409	14570	21002
410	14611	20974
411	14652	20947
412	14693	20919
413	14736	20894
414	14777	20865
415	14816	20836
416	14851	20799
417	14888	20764
418	14924	20730
419	14960	20695
420	14999	20663
421	15041	20637
422	15080	20607
423	15119	20575
424	15163	20550
425	15206	20525
426	15245	20494
427	15291	20472
428	15336	20448
429	15376	20418
430	15417	20389
431	15459	20362
432	15499	20331
433	15540	20302
434	15581	20274
435	15639	20266
436	15701	20264
437	15746	20240
438	15783	20205
439	15825	20177
440	15867	20148
441	15907	20118
442	15948	20088
443	15994	20064
444	16032	20031
445	16067	19994
446	16103	19958
447	16139	19921
448	16176	19886
449	16216	19856
450	16258	19827
451	16297	19795
452	16336	19762
453	16378	19733
454	16419	19703
455	16460	19673
456	16501	19642
457	16544	19614
458	16584	19583
459	16623	19550
460	16664	19519
461	16703	19487
462	16744	19457
463	16787	19428
464	16824	19393
465	16864	19362
466	16906	19331
467	16945	19298
468	16979	19259
469	17018	19227
470	17058	19195
471	17099	19164
472	17140	19133
473	17185	19106
474	17228	19077
475	17269	19047
476	17303	19008
477	17339	18972
478	17373	18933
479	17408	18895
480	17443	18858
481	17479	18821
